Time (ms),Voltage (mV)
1407.991886138916,1983.9375
1416.5172576904297,2585.25
1423.3856201171875,2925.9375
1431.7905902862549,3111.9375
1440.096378326416,3028.6875
1448.354959487915,2633.8125
1455.1568031311035,2198.25
1463.1178379058838,1654.5
1471.0955619812012,1197.75
1479.1793823242188,941.4375
1486.0281944274902,930.0
1493.464708328247,1114.6875
1500.3042221069336,1462.3125
1507.0669651031494,1909.3125
1514.3992900848389,2448.75
1521.2829113006592,2830.875
1528.4993648529053,3065.25
1535.2833271026611,3108.9375
1542.5868034362793,2911.3125
1549.4844913482666,2563.6875
1556.3011169433594,2116.3125
1563.7249946594238,1650.375
1570.5368518829346,1250.0625
1577.9321193695068,961.5
1584.852695465088,918.375
1591.8362140655518,1073.4375
1598.8051891326904,1398.75
1605.5948734283447,1835.25
1613.3687496185303,2379.1875
1620.2020645141602,2778.75
1627.7122497558594,3039.9375
1634.5140933990479,3115.5
1641.3838863372803,2991.75
1648.557424545288,2627.25
1655.3654670715332,2190.75
1662.7297401428223,1722.0
1669.501543045044,1305.9375
1678.0266761779785,960.5625
1684.931993484497,918.9375
1692.2905445098877,1075.3125
1699.1887092590332,1402.125
1706.2187194824219,1838.8125
1714.9255275726318,2456.25
1721.8124866485596,2836.3125
1729.2771339416504,3088.3125
1736.1156940460205,3095.0625
1743.57271194458,2906.8125
1751.60551071167,2486.625
1759.235143661499,1951.125
1766.160011291504,1498.6875
1773.0796337127686,1139.625
1780.8837890625,923.8125
1787.8363132476807,950.8125
1795.7587242126465,1223.25
1802.5565147399902,1615.3125
1809.7245693206787,2157.1875
1817.7525997161865,2663.8125
1824.7296810150146,2976.0
1832.3795795440674,3113.4375
1839.7858142852783,3022.3125
1848.7770557403564,2620.6875
1856.5616607666016,2104.6875
1864.194393157959,1639.125
1870.9940910339355,1241.25
1878.340244293213,957.75
1885.17427444458,919.6875
1892.155647277832,1079.8125
1900.3190994262695,1476.0
1907.1989059448242,1925.4375
1914.5817756652832,2463.5625
1921.438455581665,2841.5625
1928.8909435272217,3069.9375
1935.71138381958,3107.0625
1942.7270889282227,2901.9375
1950.6771564483643,2549.625
1957.4689865112305,2100.5625
1965.0294780731201,1562.25
1971.832275390625,1184.4375
1979.3486595153809,936.75
1986.1810207366943,933.9375
1993.602991104126,1126.125
2001.648187637329,1549.875
2008.962631225586,2086.6875
2015.9313678741455,2537.8125
2022.7408409118652,2893.875
2030.3974151611328,3105.1875
2037.2025966644287,3073.875
2044.5265769958496,2850.5625
2051.339626312256,2475.75
2058.2499504089355,2017.875
2065.5674934387207,1488.0
2072.4029541015625,1132.3125
2080.076217651367,935.8125
2088.2744789123535,978.5625
2095.686197280884,1231.6875
2102.946996688843,1626.375
2110.2681159973145,2169.1875
2118.1986331939697,2673.9375
2125.0696182250977,2981.4375
2132.1353912353516,3114.1875
2138.8943195343018,3047.625
2146.172523498535,2794.3125
2154.055118560791,2324.8125
2161.348581314087,1779.0
2168.1621074676514,1352.0625
2174.9751567840576,1044.375
2182.020425796509,912.75
2189.1558170318604,980.0625
2196.57826423645,1292.4375
2204.42795753479,1781.25
2211.639165878296,2250.75
2218.7297344207764,2676.9375
2225.6712913513184,2983.6875
2233.724594116211,3117.0
2240.4913902282715,3015.9375
2247.715473175049,2672.0625
2254.479169845581,2244.5625
2261.6093158721924,1775.4375
2268.5387134552,1348.6875
2275.498151779175,1042.875
2283.5464477539062,910.125
2290.3244495391846,1011.75
2297.5142002105713,1356.9375
2304.3112754821777,1785.0
2311.5322589874268,2254.5
2318.366050720215,2680.125
2325.4261016845703,2985.375
2332.2646617889404,3114.75
2339.2245769500732,3045.1875
2347.261428833008,2730.375
2354.0549278259277,2317.125
2361.3851070404053,1771.3125
2368.201494216919,1345.875
2375.053882598877,1041.0
2382.054567337036,912.375
2389.209747314453,983.0625
2396.714687347412,1298.4375
2404.574394226074,1788.9375
2411.6885662078857,2258.4375
2419.7487831115723,2744.625
2429.0082454681396,3075.5625
2435.8208179473877,3104.25
2442.8162574768066,2935.875
2450.789213180542,2532.5625
2457.5395584106445,2080.5
2465.895175933838,1474.125
2472.7725982666016,1122.75
2480.168104171753,932.625
2488.1856441497803,958.6875
2495.3157901763916,1188.75
2502.055883407593,1567.875
2510.303020477295,2185.125
2518.2747840881348,2686.5
2525.385618209839,2988.9375
2533.4393978118896,3116.8125
2540.2448177337646,3010.5
2547.46413230896,2724.5625
2554.1961193084717,2309.4375
2562.5598430633545,1686.9375
2570.5347061157227,1221.75
2577.8775215148926,974.25
2585.843563079834,924.0
2593.475818634033,1140.9375
2601.445198059082,1571.625
2608.2684993743896,2031.75
2615.3905391693115,2488.875
2622.1835613250732,2859.9375
2629.523515701294,3095.625
2637.477397918701,3066.75
2644.8137760162354,2834.8125
2651.6215801239014,2454.1875
2658.421039581299,1993.875
2666.501998901367,1467.375
2673.7756729125977,1118.25
2681.037664413452,918.5625
2687.80255317688,961.125
2696.2714195251465,1248.75
2704.1752338409424,1723.875
2711.630344390869,2270.0625
2718.543529510498,2693.0625
2725.5008220672607,2992.875
